date;vac_statut;nb_PCR;nb_PCR_sympt;nb_PCR+;nb_PCR+_sympt;HC;HC_PCR+;SC;SC_PCR+;DC;DC_PCR+;effectif
2021-06-16;Complet entre 3 mois et 6 mois - sans rappel;7054.38;299.07;29.14;6.5;0.85;0.03;1.18;0.16;3.33;0.0;2260493.04
2021-06-17;Complet - avec rappel de moins de 3 mois;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.78
2021-06-18;Primo dose efficace;50542.47;1748.88;192.11;43.49;12.04;5.2;0.51;0.19;4.08;2.5;13042811.51
2021-06-18;Complet de moins de 3 mois - sans rappel;41905.94;1289.53;285.12;61.08;12.6;8.32;5.12;4.79;2.2;1.0;12343430.19
2021-06-19;Primo dose récente;8147.16;248.83;63.72;15.46;7.38;5.66;0.03;0.03;0.0;0.0;4002186.84
2021-06-20;Non-vaccinés;16961.42;1144.28;318.99;84.84;81.34;58.75;9.58;7.83;11.34;9.15;35033341.07
2021-06-20;Primo dose récente;2074.81;87.47;17.1;4.17;2.75;2.37;0.53;0.28;0.0;0.0;3920816.2
2021-06-20;Complet - avec rappel de moins de 3 mois;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.78
2021-06-24;Primo dose récente;11045.52;522.4;82.65;28.39;2.31;2.18;1.36;1.29;0.0;0.0;3413590.2
2021-06-24;Primo dose efficace;41934.04;1889.07;154.1;51.55;9.77;6.94;2.21;0.65;2.97;1.85;13094770.95
2021-06-25;Complet entre 3 mois et 6 mois - sans rappel;7839.64;311.94;35.96;3.41;6.42;4.16;0.28;0.28;0.64;0.25;2589762.12
2021-06-26;Non-vaccinés;61672.81;3020.75;817.72;219.27;65.57;44.96;14.48;14.48;11.15;4.0;33854862.31
2021-06-28;Primo dose efficace;45516.85;2522.44;268.03;84.79;12.13;7.16;3.09;2.0;2.23;1.38;12949542.81
2021-06-28;Complet de moins de 3 mois - sans rappel;56004.94;2158.46;363.37;103.57;13.08;7.84;1.93;1.17;1.15;1.15;15250332.87
2021-06-28;Complet entre 3 mois et 6 mois - sans rappel;10422.5;398.34;53.91;4.17;3.92;2.45;0.54;0.34;1.73;1.17;2667056.95
2021-06-29;Primo dose efficace;36692.13;2409.76;199.73;70.88;11.58;6.33;1.39;1.11;0.63;0.14;12761935.9
2021-06-29;Complet entre 3 mois et 6 mois - sans rappel;8079.11;397.02;41.91;9.22;6.07;2.2;1.27;1.25;0.38;0.09;2724143.2
2021-06-30;Non-vaccinés;94369.39;6801.64;1763.58;605.26;73.94;54.91;18.87;12.33;7.22;6.22;33318118.41
2021-06-30;Complet entre 3 mois et 6 mois - sans rappel;7443.26;386.34;52.84;10.39;4.08;2.7;0.15;0.0;1.07;1.07;2799196.75
2021-06-30;Complet - avec rappel de moins de 3 mois;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.75
2021-07-01;Non-vaccinés;106318.48;6592.67;1723.1;584.26;63.42;45.62;14.2;8.6;8.91;6.36;33117163.36
2021-07-01;Complet - avec rappel de moins de 3 mois;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.75
2021-07-02;Non-vaccinés;121242.39;6337.69;1941.94;610.3;71.76;47.02;16.75;12.0;9.62;8.0;32888965.86
2021-07-03;Primo dose récente;6540.56;188.83;78.14;25.18;1.79;1.27;1.14;1.0;0.0;0.0;2435689.74
2021-07-03;Complet entre 3 mois et 6 mois - sans rappel;6005.4;268.79;31.58;5.77;1.46;0.17;0.11;0.0;0.48;0.42;3070569.26
2021-07-03;Complet de 6 mois ou plus - sans rappel;0.02;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;186.08
2021-07-03;Complet - avec rappel de moins de 3 mois;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.74
2021-07-04;Non-vaccinés;20138.49;1144.38;471.42;156.83;41.48;31.48;11.29;7.22;2.8;2.8;32529848.27
2021-07-04;Primo dose efficace;7559.91;347.51;57.12;13.02;3.5;2.09;0.26;0.0;2.2;1.2;11863428.33
2021-07-04;Complet de moins de 3 mois - sans rappel;10989.99;474.87;79.64;20.59;10.7;7.75;0.55;0.29;1.0;1.0;17559687.84
2021-07-05;Primo dose efficace;47527.04;2761.47;407.17;152.54;9.69;4.83;1.21;1.04;3.27;3.0;11772756.07
2021-07-06;Complet de moins de 3 mois - sans rappel;54197.17;2978.87;512.31;166.67;13.88;10.32;1.42;1.34;1.16;0.0;18163644.6
2021-07-06;Complet de 6 mois ou plus - sans rappel;1.26;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;279.05
2021-07-06;Complet - avec rappel de moins de 3 mois;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.74
2021-07-07;Primo dose récente;9468.13;525.8;181.61;75.65;3.91;3.38;0.53;0.15;0.0;0.0;2286084.96
2021-07-07;Primo dose efficace;39845.12;2661.09;430.39;154.66;6.68;4.97;0.78;0.33;2.03;1.2;11178626.36
2021-07-07;Complet - avec rappel de moins de 3 mois;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.73
2021-07-08;Complet de moins de 3 mois - sans rappel;54270.99;3168.05;583.29;192.45;12.85;9.91;2.52;2.25;2.21;2.0;18976851.71
2021-07-08;Complet de 6 mois ou plus - sans rappel;1.21;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;468.08
2021-07-09;Primo dose récente;12391.76;428.36;198.48;81.69;2.21;2.11;2.08;1.45;0.0;0.0;2251291.34
2021-07-09;Primo dose efficace;49836.85;2441.18;474.6;160.5;8.76;6.94;1.26;1.09;2.38;1.2;10648493.72
2021-07-09;Complet de moins de 3 mois - sans rappel;65601.47;3008.11;726.75;230.78;16.76;9.28;2.2;1.62;1.62;1.4;19339877.66
2021-07-10;Non-vaccinés;76617.3;4011.1;1589.82;576.68;57.23;44.0;24.33;21.31;9.91;7.11;31452270.14
2021-07-10;Primo dose récente;6711.48;210.65;114.33;44.98;5.12;3.7;1.12;1.03;0.0;0.0;2248354.72
2021-07-10;Complet entre 3 mois et 6 mois - sans rappel;6581.14;338.77;38.8;10.71;7.51;5.81;0.24;0.12;0.54;0.28;3653695.39
2021-07-11;Primo dose récente;1599.72;76.23;36.51;13.63;0.84;0.77;0.12;0.12;0.02;0.02;2242239.43
2021-07-11;Primo dose efficace;7217.31;382.92;96.82;37.81;3.52;2.87;0.48;0.12;1.38;1.1;10081682.09
2021-07-11;Complet de moins de 3 mois - sans rappel;13071.33;630.1;185.31;50.9;12.02;6.76;2.9;2.55;1.59;1.05;20073754.19
2021-07-11;Complet de 6 mois ou plus - sans rappel;1.06;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;858.12
2021-07-12;Non-vaccinés;120410.42;10885.92;4945.2;2219.02;83.5;61.23;24.88;18.25;2.0;1.0;31247633.29
2021-07-13;Complet de moins de 3 mois - sans rappel;69622.17;4279.69;1086.78;399.03;19.6;15.98;3.48;3.34;1.0;1.0;20513613.96
2021-07-14;Complet entre 3 mois et 6 mois - sans rappel;3261.94;265.59;38.2;12.27;10.55;9.44;3.51;3.18;1.7;1.25;4043879.39
2021-07-14;Complet - avec rappel de moins de 3 mois;0.04;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;23.67
2021-07-15;Non-vaccinés;134592.22;13258.99;7477.83;3496.82;99.59;70.36;29.4;23.56;7.69;7.69;30619399.76
2021-07-15;Primo dose récente;13126.95;793.17;505.19;231.88;6.73;5.46;0.12;0.12;0.0;0.0;2330259.05
2021-07-15;Primo dose efficace;44315.38;3298.36;1041.3;443.54;5.83;5.15;0.48;0.36;0.12;0.12;9109283.6
2021-07-15;Complet de moins de 3 mois - sans rappel;72373.5;5123.14;1487.61;588.02;15.22;12.81;5.13;3.57;0.0;0.0;21196324.42
2021-07-15;Complet entre 3 mois et 6 mois - sans rappel;12045.43;1021.27;192.81;75.69;15.61;11.22;1.85;1.37;2.19;2.19;4188995.85
2021-07-15;Complet - avec rappel de moins de 3 mois;1.12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;28.75
2021-07-16;Complet de moins de 3 mois - sans rappel;74481.47;4640.9;1532.72;540.73;30.82;27.06;5.17;3.95;1.28;1.25;21502452.25
2021-07-17;Primo dose récente;7695.72;401.03;329.45;150.19;2.96;2.19;2.38;2.14;0.34;0.31;2591516.57
2021-07-17;Primo dose efficace;23339.33;1326.39;596.78;233.94;12.2;7.39;1.68;1.27;1.08;0.39;8555770.07
2021-07-17;Complet de moins de 3 mois - sans rappel;49249.86;2335.19;902.32;312.47;20.77;15.56;2.77;1.46;1.19;0.51;21899143.99
2021-07-17;Complet - avec rappel de moins de 3 mois;0.06;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;37.59
2021-07-18;Non-vaccinés;20001.84;2009.13;1400.8;643.32;104.32;82.09;33.74;24.86;3.68;2.68;29643501.14
2021-07-18;Primo dose efficace;6106.27;451.31;218.58;93.55;4.2;3.33;1.75;1.64;0.04;0.04;8332732.7
2021-07-18;Complet de moins de 3 mois - sans rappel;14938.06;829.95;350.01;125.7;21.07;18.8;5.11;4.85;0.07;0.07;22170840.52
2021-07-18;Complet - avec rappel de moins de 3 mois;1.03;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;38.55
2021-07-19;Primo dose récente;14952.69;1342.06;1073.99;526.96;9.71;7.16;2.64;1.59;0.03;0.03;2757756.95
2021-07-19;Complet entre 3 mois et 6 mois - sans rappel;18863.61;1429.66;414.3;160.75;10.77;6.87;1.7;1.45;0.64;0.43;4625929.34
2021-07-21;Non-vaccinés;125477.86;16204.9;12176.12;6037.19;184.98;142.92;54.61;43.83;8.37;5.62;28880640.96
2021-07-21;Primo dose efficace;34867.9;3181.01;1494.42;653.38;9.2;3.27;2.6;2.34;0.37;0.37;7566549.67
2021-07-21;Complet de moins de 3 mois - sans rappel;66596.05;6249.1;2465.64;998.63;33.91;25.76;5.65;4.51;0.4;0.4;23019996.19
2021-07-21;Complet - avec rappel de moins de 3 mois;0.02;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;40.53
2021-07-22;Primo dose efficace;42400.2;2898.43;1528.39;641.98;10.44;8.23;2.19;1.72;1.6;1.21;7582316.73
2021-07-23;Complet entre 3 mois et 6 mois - sans rappel;17433.21;1256.68;442.58;154.05;21.31;17.39;0.46;0.07;2.93;1.83;5308123.22
2021-07-24;Non-vaccinés;88890.19;7599.8;6626.8;2886.34;206.84;154.74;57.55;42.29;12.59;10.53;27617418.15
2021-07-24;Complet de 6 mois ou plus - sans rappel;9.56;0.23;0.09;0.03;0.06;0.0;0.0;0.0;0.0;0.0;7428.46
2021-07-25;Primo dose récente;3480.69;267.74;264.41;109.13;7.53;5.1;3.4;3.4;0.0;0.0;3723108.56
2021-07-25;Complet entre 3 mois et 6 mois - sans rappel;4122.25;356.84;85.56;31.75;17.76;15.29;5.8;4.39;2.64;2.0;5619385.09
2021-07-25;Complet - avec rappel de moins de 3 mois;0.01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;41.42
2021-07-26;Complet de moins de 3 mois - sans rappel;89740.86;8158.09;3880.82;1666.16;52.31;39.25;12.75;10.88;1.15;1.15;24093465.98
2021-07-26;Complet de 6 mois ou plus - sans rappel;58.35;3.36;0.41;0.04;0.0;0.0;0.0;0.0;0.03;0.03;7721.39
2021-07-27;Complet de 6 mois ou plus - sans rappel;58.54;5.44;0.32;0.03;0.0;0.0;0.0;0.0;0.0;0.0;9212.42
2021-07-27;Complet - avec rappel de moins de 3 mois;1.04;1.04;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;41.41
2021-07-28;Non-vaccinés;121586.58;17042.59;14574.76;7212.44;282.13;204.97;74.92;54.4;16.75;12.0;26413839.52
2021-07-28;Primo dose récente;23858.97;2390.05;2066.42;1051.53;22.82;19.8;3.96;2.47;0.0;0.0;4106474.58
2021-07-28;Primo dose efficace;29007.17;2450.79;1291.31;524.43;19.26;17.1;3.22;2.5;1.09;1.0;6182048.38
2021-07-28;Complet de 6 mois ou plus - sans rappel;78.8;6.34;1.47;0.16;0.0;0.0;0.0;0.0;0.03;0.0;12644.48
2021-07-28;Complet - avec rappel de moins de 3 mois;0.03;0.03;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;41.41
2021-07-29;Complet de 6 mois ou plus - sans rappel;82.61;3.16;2.33;0.02;0.0;0.0;0.0;0.0;0.0;0.0;18692.24
2021-07-30;Primo dose récente;46560.08;2121.83;1986.98;891.25;21.32;15.19;2.75;2.47;1.03;1.03;4478270.56
2021-07-30;Complet entre 3 mois et 6 mois - sans rappel;21855.93;1706.82;717.93;271.15;36.08;28.24;8.55;7.74;4.0;3.81;6427571.6
2021-07-30;Complet - avec rappel de moins de 3 mois;0.04;0.04;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;44.62
2021-07-31;Primo dose récente;22150.86;960.86;1055.66;437.49;21.5;14.21;2.89;1.51;0.23;0.17;4548661.9
2021-07-31;Complet entre 3 mois et 6 mois - sans rappel;12130.12;917.1;367.4;148.84;44.38;36.88;3.46;2.49;4.71;3.93;6627683.61
2021-07-31;Complet - avec rappel entre 3 mois et 6 mois;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.69
2021-08-01;Non-vaccinés;21029.59;2054.93;1969.15;795.85;291.97;195.25;95.39;71.02;23.75;16.86;24734025.45
2021-08-02;Non-vaccinés;140299.04;19218.7;19707.14;9489.48;407.15;314.69;117.26;91.99;23.72;18.15;24624038.72
2021-08-02;Complet de 6 mois ou plus - sans rappel;430.78;50.42;16.74;7.95;0.0;0.0;0.0;0.0;0.0;0.0;54854.69
2021-08-03;Complet de moins de 3 mois - sans rappel;73297.28;8178.39;3780.96;1591.27;75.79;58.12;24.08;21.86;4.56;4.22;26025552.42
2021-08-03;Complet entre 3 mois et 6 mois - sans rappel;24091.8;2333.49;1092.71;423.83;52.21;42.33;8.31;7.24;9.02;7.56;6888842.88
2021-08-03;Complet de 6 mois ou plus - sans rappel;447.45;55.11;22.59;11.78;0.07;0.07;0.0;0.0;0.03;0.03;75115.32
2021-08-04;Primo dose efficace;27973.76;2289.07;1237.89;518.24;24.19;17.91;4.04;3.86;1.47;0.98;5542320.6
2021-08-05;Complet de moins de 3 mois - sans rappel;72251.95;7181.25;3445.7;1423.29;74.29;54.58;16.73;13.17;4.34;3.9;26306403.34
2021-08-05;Complet entre 3 mois et 6 mois - sans rappel;21520.47;2116.55;940.45;351.57;73.76;55.56;7.28;5.93;6.48;6.24;7306182.69
2021-08-06;Non-vaccinés;143566.36;13354.74;14016.63;6187.84;393.68;276.97;144.92;113.82;35.09;24.97;23149583.15
2021-08-06;Complet de 6 mois ou plus - sans rappel;932.77;99.42;44.21;13.73;1.03;1.0;0.0;0.0;0.0;0.0;190556.58
2021-08-07;Non-vaccinés;77768.01;6407.68;7050.84;2986.25;359.77;255.82;125.99;98.83;28.55;14.66;22793751.74
2021-08-07;Primo dose récente;21710.48;1021.15;1028.28;485.56;25.81;20.69;4.28;2.73;0.08;0.0;4461350.92
2021-08-07;Complet de moins de 3 mois - sans rappel;49461.09;3199.96;1992.58;752.75;65.13;50.31;11.03;8.6;6.22;3.64;26492488.48
2021-08-07;Complet de 6 mois ou plus - sans rappel;428.45;68.49;41.65;25.04;2.09;2.06;0.0;0.0;1.03;1.0;233454.81
2021-08-07;Complet - avec rappel entre 3 mois et 6 mois;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.68
2021-08-08;Complet de 6 mois ou plus - sans rappel;212.14;27.16;17.6;12.55;3.07;3.04;0.0;0.0;0.17;0.0;243649.18
2021-08-08;Complet - avec rappel entre 3 mois et 6 mois;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.68
2021-08-09;Primo dose efficace;48890.41;2738.94;1754.66;737.7;29.19;24.22;7.22;6.58;2.49;2.06;5797245.0
2021-08-10;Primo dose récente;33592.13;2349.4;2130.56;1050.9;33.39;24.95;7.63;7.04;0.06;0.05;4271338.0
2021-08-10;Complet de 6 mois ou plus - sans rappel;1655.39;150.75;115.38;28.36;4.91;3.79;2.48;2.4;1.16;1.05;292199.59
2021-08-10;Complet - avec rappel entre 3 mois et 6 mois;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.67
2021-08-11;Non-vaccinés;113622.77;13269.81;14144.68;6565.22;501.52;348.8;135.88;108.36;39.07;26.15;21952757.59
2021-08-11;Complet entre 3 mois et 6 mois - sans rappel;23531.33;2267.01;1269.74;464.85;76.78;64.53;11.38;8.88;14.75;13.46;8312202.26
2021-08-11;Complet de 6 mois ou plus - sans rappel;1937.51;160.4;98.0;37.13;7.2;4.74;1.06;1.0;0.48;0.36;360240.88
2021-08-12;Complet de moins de 3 mois - sans rappel;62826.01;6663.01;3697.97;1567.19;84.63;56.45;22.39;17.66;3.88;3.47;26716721.39
2021-08-12;Complet entre 3 mois et 6 mois - sans rappel;22795.1;2335.18;1251.95;459.98;68.76;51.06;18.31;16.47;13.4;11.12;8501871.29
2021-08-12;Complet - avec rappel de moins de 3 mois;0.07;0.05;0.0;0.0;0.02;0.0;0.0;0.0;0.0;0.0;59.41
2021-08-12;Complet - avec rappel entre 3 mois et 6 mois;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.67
2021-08-13;Non-vaccinés;146588.53;11810.89;13484.99;5667.9;516.9;355.48;112.21;88.14;56.4;33.41;21408624.57
2021-08-13;Complet de 6 mois ou plus - sans rappel;2933.07;216.14;142.34;39.66;3.37;2.53;1.46;1.06;0.87;0.43;524657.68
2021-08-13;Complet - avec rappel de moins de 3 mois;1.06;1.03;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;59.33
2021-08-14;Non-vaccinés;76423.32;5626.57;6895.9;2794.14;423.23;292.01;133.52;101.66;65.29;37.04;21159899.11
2021-08-14;Primo dose efficace;32693.74;1122.51;807.06;269.42;26.0;17.5;6.73;6.0;4.11;2.78;6441183.31
2021-08-14;Complet entre 3 mois et 6 mois - sans rappel;14273.46;1133.41;624.31;236.69;62.72;48.03;10.0;8.12;10.32;4.97;8612478.77
2021-08-14;Complet - avec rappel de moins de 3 mois;0.03;0.01;0.0;0.0;0.0;0.0;0.0;0.0;0.02;0.0;60.34
2021-08-14;Complet - avec rappel entre 3 mois et 6 mois;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.67
2021-08-16;Primo dose récente;31243.78;1852.29;1818.39;897.47;21.86;14.24;8.89;7.06;0.14;0.14;3394585.08
2021-08-16;Primo dose efficace;54482.51;2715.09;1873.74;785.07;36.47;27.31;10.03;8.22;3.53;2.59;6533309.49999999
2021-08-16;Complet entre 3 mois et 6 mois - sans rappel;30921.68;2748.44;1653.59;665.79;77.11;62.94;12.95;10.13;12.25;10.86;8737180.64
2021-08-16;Complet - avec rappel de moins de 3 mois;0.18;0.0;0.0;0.0;0.0;0.0;0.01;0.0;0.0;0.0;63.24
2021-08-17;Complet - avec rappel de moins de 3 mois;2.13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;66.22
2021-08-17;Complet - avec rappel entre 3 mois et 6 mois;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.66
2021-08-18;Complet entre 3 mois et 6 mois - sans rappel;23680.92;2451.84;1154.73;442.77;76.86;62.25;14.09;13.46;20.34;17.96;8932575.18
2021-08-18;Complet - avec rappel entre 3 mois et 6 mois;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.66
2021-08-19;Complet - avec rappel de moins de 3 mois;2.14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;68.18
2021-08-20;Non-vaccinés;122295.12;10649.28;11532.09;4835.63;454.49;293.05;134.15;94.78;65.84;36.76;20198435.91
2021-08-20;Primo dose efficace;58486.38;2171.15;1329.81;439.19;22.66;21.0;9.58;8.39;10.2;6.52;6722783.86
2021-08-20;Complet - avec rappel de moins de 3 mois;0.15;0.0;0.0;0.0;0.02;0.02;0.0;0.0;0.0;0.0;69.15
2021-08-21;Complet - avec rappel entre 3 mois et 6 mois;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.66
2021-08-22;Primo dose récente;2524.43;147.9;136.35;51.62;23.11;17.84;9.91;8.16;1.02;1.0;2487923.28
2021-08-22;Primo dose efficace;5955.68;342.71;171.49;53.03;23.79;22.2;2.8;1.73;4.41;2.09;6731479.24
2021-08-22;Complet de moins de 3 mois - sans rappel;11611.86;1161.08;579.45;215.58;78.74;54.92;18.88;16.12;4.88;3.79;27907676.4
2021-08-22;Complet de 6 mois ou plus - sans rappel;855.01;126.28;43.55;19.13;14.95;14.55;1.53;1.49;5.91;5.44;1105807.15
2021-08-22;Complet - avec rappel de moins de 3 mois;0.02;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;71.12
2021-08-22;Complet - avec rappel entre 3 mois et 6 mois;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.66
2021-08-23;Primo dose efficace;46261.96;2705.16;1653.31;663.77;31.89;22.38;9.19;7.26;10.22;8.66;6744676.79
2021-08-23;Complet - avec rappel entre 3 mois et 6 mois;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.65
2021-08-24;Complet de moins de 3 mois - sans rappel;58255.64;8430.82000000001;3783.29;1789.54;87.26;65.06;18.78;13.76;8.42;6.61;28230820.69
2021-08-24;Complet entre 3 mois et 6 mois - sans rappel;26328.37;2681.83;1205.31;488.05;79.44;56.84;15.81;14.36;16.31;11.86;9312642.09
2021-08-24;Complet de 6 mois ou plus - sans rappel;6672.06;469.86;287.78;85.55;11.65;10.88;1.63;1.4;8.26;7.33;1180748.27
2021-08-25;Non-vaccinés;78466.87;9514.43;9444.43;4214.72;409.57;287.39;142.0;104.06;60.22;35.48;19583731.03
2021-08-25;Complet - avec rappel de moins de 3 mois;0.13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;72.01
2021-08-26;Complet de moins de 3 mois - sans rappel;52670.27;7362.36;3123.94;1330.72;78.12;58.48;18.57;15.75;13.1;11.28;28514028.69
