date;vac_statut;nb_PCR;nb_PCR_sympt;nb_PCR+;nb_PCR+_sympt;HC;HC_PCR+;SC;SC_PCR+;DC;DC_PCR+;effectif J-7
2021-06-28;Vaccination complète;45144;1862;225;62;13;8;1;1;1;1;16244552
2021-06-29;Vaccination complète;35052;1814;133;41;10;4;3;2;2;1;16670800
2021-06-30;Vaccination complète;33285;1668;201;59;10;7;2;2;4;2;17072640
2021-07-02;Vaccination complète;42372;1746;239;62;15;13;3;2;2;2;17986719
2021-07-08;Vaccination complète;41194;2755;344;110;9;8;1;1;3;3;20274984
2021-07-10;Vaccination complète;34116;1465;220;74;11;7;1;0;1;1;21242295
2021-07-16;Vaccination complète;59128;4063;956;332;23;20;4;3;1;1;24004290
2021-07-20;Vaccination complète;57518;5512;1538;589;21;18;3;3;0;0;25491629
2021-07-27;Vaccination complète;65965;6689;2061;831;76;65;4;4;2;2;28517277
2021-07-30;Vaccination complète;75387;5680;2215;832;42;36;13;11;4;4;29780007
2021-08-03;Vaccination complète;67289;7491;2719;1112;74;66;15;15;9;8;31194774
2021-08-07;Vaccination complète;42090;3088;1425;583;75;69;14;13;7;5;32874756
2021-08-08;Vaccination complète;14755;1016;464;159;61;54;9;9;9;7;32970348
2021-05-31;Non-vaccinés;194031;23185;9728;3876;325;226;89;63;29;16;43723619
2021-06-03;Non-vaccinés;171150;16572;5869;2010;250;175;63;47;26;20;42471445
2021-06-10;Non-vaccinés;144688;11771;3371;1139;183;132;50;37;27;21;39997277
2021-06-11;Non-vaccinés;160426;11011;3733;1027;209;142;44;31;24;17;39546831
2021-06-14;Non-vaccinés;150253;11293;3567;1156;164;116;42;30;20;17;38780392
2021-06-21;Non-vaccinés;138619;8865;2409;770;103;73;35;24;19;11;36611740
2021-06-27;Non-vaccinés;23928;1396;349;96;64;47;15;13;20;14;35077417
2021-07-06;Non-vaccinés;135636;9702;2762;1073;84;61;25;21;11;8;33438371
2021-07-07;Non-vaccinés;140662;9556;3118;1158;84;58;23;13;15;8;33239335
2021-07-08;Non-vaccinés;154525;9636;2991;1154;81;62;18;14;9;5;33023291
2021-07-16;Non-vaccinés;179770;14488;8176;3467;133;95;29;23;9;6;31616127
2021-07-18;Non-vaccinés;29020;2475;1641;731;118;89;37;26;3;3;31412689
2021-07-20;Non-vaccinés;157758;18825;12872;6155;170;115;46;35;6;5;30970295
2021-07-24;Non-vaccinés;120335;9137;7640;3232;232;166;62;47;16;12;29830721
2021-07-28;Non-vaccinés;167787;20665;16803;8126;320;225;87;60;17;12;28689617
2021-07-29;Non-vaccinés;191387;18632;16219;7579;395;281;118;90;18;14;28257481
2021-07-31;Non-vaccinés;122077;8347;8112;3224;367;264;97;71;27;19;27546867
2021-08-01;Non-vaccinés;31423;2614;2331;918;328;214;104;74;29;22;27427882
2021-08-04;Non-vaccinés;152718;18801;16925;7907;477;326;125;105;33;17;26185358
2021-06-01;Primo dose efficace;22397;1757;281;99;21;20;5;5;4;1;8405979
2021-06-03;Primo dose efficace;25475;1714;255;85;12;9;7;6;4;3;8868677
2021-06-04;Primo dose efficace;31020;1552;282;77;16;16;3;2;1;0;9007431
2021-06-05;Primo dose efficace;17109;764;157;37;16;16;4;4;4;3;9341981
2021-06-10;Primo dose efficace;28824;1518;204;54;9;7;2;1;5;5;10410112
2021-06-17;Primo dose efficace;30090;1227;143;35;12;8;5;5;2;2;11353538
2021-06-19;Primo dose efficace;18411;597;99;19;7;7;1;1;4;3;11622615
2021-06-21;Primo dose efficace;30250;1549;153;46;11;9;0;0;1;1;11674318
2021-06-23;Primo dose efficace;24278;1415;122;35;14;10;3;2;4;4;11799385
2021-06-25;Primo dose efficace;31199;1413;136;32;9;8;2;1;1;1;11938972
2021-06-26;Primo dose efficace;17991;661;92;18;1;1;0;0;7;5;12122047
2021-06-28;Primo dose efficace;29392;1892;218;80;5;3;2;1;1;1;12086539
2021-07-04;Primo dose efficace;4574;251;38;13;2;2;0;0;2;1;12062120
2021-07-08;Primo dose efficace;31500;2038;364;138;5;5;1;1;1;1;11173149
2021-07-11;Primo dose efficace;4353;278;82;38;3;3;0;0;1;1;10862012
2021-07-12;Primo dose efficace;28800;2574;652;304;4;3;0;0;1;0;10472162
2021-07-14;Primo dose efficace;5600;429;186;76;2;2;0;0;1;1;9828666
2021-07-18;Primo dose efficace;3636;334;184;81;3;3;0;0;0;0;9046105
2021-07-26;Primo dose efficace;24353;2549;1445;712;10;7;4;3;1;0;6861990
2021-07-28;Primo dose efficace;18545;1794;988;437;12;12;2;2;1;1;6473022
2021-07-31;Primo dose efficace;14845;725;479;181;5;4;2;1;1;1;5696336
2021-08-02;Primo dose efficace;22220;1899;1253;543;16;14;3;3;4;3;5333755
2021-08-04;Primo dose efficace;17152;1605;943;425;9;8;2;2;0;0;4845757
2021-08-05;Primo dose efficace;22089;1562;929;398;19;17;3;3;0;0;4611924
2021-08-07;Primo dose efficace;16686;768;591;208;11;11;1;1;0;0;4495689
2021-05-31;Primo dose récente;13401;1284;597;281;14;12;4;3;0;0;5516088
2021-06-03;Primo dose récente;13328;967;354;155;10;9;6;6;0;0;5634710
2021-06-04;Primo dose récente;14522;769;316;142;10;10;3;2;0;0;5710990
2021-06-15;Primo dose récente;8732;589;122;40;8;6;0;0;0;0;5294958
2021-06-21;Primo dose récente;9280;526;100;43;2;2;0;0;0;0;4991573
2021-06-22;Primo dose récente;6899;484;75;31;1;1;1;0;0;0;4925312
2021-06-24;Primo dose récente;8437;419;63;24;3;2;1;1;0;0;4711433
2021-06-25;Primo dose récente;8981;389;70;25;1;0;0;0;0;0;4567576
2021-06-28;Primo dose récente;7397;424;92;44;0;0;0;0;0;0;4190497
2021-06-29;Primo dose récente;6139;412;69;29;2;2;0;0;0;0;4066955
2021-07-01;Primo dose récente;8285;390;90;34;0;0;0;0;0;0;3764204
2021-07-05;Primo dose récente;8230;416;135;65;0;0;0;0;0;0;3201026
2021-07-06;Primo dose récente;6456;420;123;53;2;1;0;0;0;0;3133916
2021-07-07;Primo dose récente;7376;460;145;64;1;1;0;0;0;0;3032008
2021-07-08;Primo dose récente;8919;438;160;69;1;1;0;0;0;0;2935817
2021-07-09;Primo dose récente;9776;356;157;66;2;2;1;1;0;0;2834570
2021-07-13;Primo dose récente;7651;556;277;131;4;4;0;0;0;0;2587602
2021-07-14;Primo dose récente;1753;118;57;23;0;0;0;0;0;0;2571056
2021-07-15;Primo dose récente;10071;657;395;187;2;2;0;0;0;0;2563270
2021-07-18;Primo dose récente;1500;124;94;44;4;4;0;0;0;0;2402169
2021-07-20;Primo dose récente;10811;1150;888;450;3;3;2;2;0;0;2615361
2021-07-24;Primo dose récente;11374;685;668;292;8;7;1;1;0;0;2951082
2021-07-26;Primo dose récente;18805;2017;1835;962;10;9;1;1;0;0;3138795
2021-07-27;Primo dose récente;16739;1928;1527;823;12;11;3;1;0;0;3340020
2021-07-31;Primo dose récente;16940;783;835;349;17;11;2;2;0;0;4040014
2021-08-02;Primo dose récente;23979;2322;2263;1166;16;13;6;6;2;1;4289845
2021-08-03;Primo dose récente;19324;2085;1781;956;19;13;10;7;1;1;4557745
2021-08-05;Primo dose récente;24117;1827;1593;820;22;19;5;5;0;0;5020012
2021-05-31;Vaccination complète;35063;1701;499;131;27;21;11;8;2;1;9890219
2021-06-01;Vaccination complète;28558;1498;329;71;20;19;5;2;3;1;10082554
2021-06-04;Vaccination complète;33100;1417;272;73;17;14;3;2;5;5;10643510
2021-06-07;Vaccination complète;37893;1543;359;93;23;17;3;2;2;2;10838640
2021-06-10;Vaccination complète;25204;1279;203;49;14;7;3;2;4;3;11562859
2021-06-17;Vaccination complète;26920;1093;148;35;13;11;1;0;2;2;13183890
2021-06-23;Vaccination complète;28087;1285;132;33;12;9;5;5;3;2;14789753
2021-07-01;Vaccination complète;31817;1854;212;55;6;4;4;3;3;1;17496725
2021-07-03;Vaccination complète;29686;1020;169;45;7;5;3;3;2;1;18292567
2021-07-05;Vaccination complète;54055;2716;382;124;7;5;3;2;1;1;18836588
2021-07-06;Vaccination complète;42737;2529;302;94;10;9;1;1;2;0;19345565
2021-07-07;Vaccination complète;41090;2562;297;106;6;5;2;1;0;0;19825329
2021-07-15;Vaccination complète;56342;4422;944;366;21;19;3;3;1;1;23447524
2021-07-17;Vaccination complète;39297;2105;629;210;14;12;2;1;2;2;24396776
2021-07-22;Vaccination complète;56257;5189;1587;622;25;23;2;2;5;4;26422098
2021-07-23;Vaccination complète;66386;4938;1671;621;27;22;2;1;2;1;26973348
2021-07-25;Vaccination complète;13593;958;298;112;31;29;9;8;2;2;27459120
2021-07-26;Vaccination complète;78557;7160;2669;1099;42;36;7;7;3;3;27961236
2021-07-31;Vaccination complète;46691;2935;1137;417;54;49;11;9;5;5;30124024
2021-08-01;Vaccination complète;15383;1022;363;139;30;23;8;8;11;9;30243982
2021-08-02;Vaccination complète;81784;7743;3356;1418;65;55;15;14;6;5;30695792
2021-08-04;Vaccination complète;64363;7181;2698;1070;67;63;15;10;8;6;31620184
2021-08-05;Vaccination complète;63859;6698;2507;1038;88;75;8;7;7;7;32070579
2021-08-06;Vaccination complète;71375;6267;2730;1043;94;78;10;10;7;6;32561381
2021-06-04;Non-vaccinés;197470;15192;5982;1833;288;206;66;52;24;19;42045310
2021-06-05;Non-vaccinés;97388;6716;3135;985;186;136;55;36;22;17;41748250
2021-06-06;Non-vaccinés;24272;1994;790;261;154;98;52;37;24;18;41642299
2021-06-08;Non-vaccinés;145039;14976;4371;1482;226;176;62;46;18;12;40865953
2021-06-09;Non-vaccinés;136438;12497;3721;1277;213;157;44;29;35;26;40454551
2021-06-12;Non-vaccinés;83745;4954;1869;503;158;110;48;39;15;10;39245116
2021-06-13;Non-vaccinés;22701;1523;484;121;125;87;30;20;17;12;39114099
2021-06-15;Non-vaccinés;121012;10314;2633;822;153;114;35;24;26;18;38391485
2021-06-18;Non-vaccinés;162825;7813;2353;572;115;69;27;18;13;9;37232772
2021-06-19;Non-vaccinés;82509;3666;1168;281;100;74;29;23;12;10;36952139
2021-06-22;Non-vaccinés;111496;8215;1789;535;112;78;26;17;16;11;36309970
2021-06-23;Non-vaccinés;110160;7515;1715;493;89;57;20;16;19;14;36000958
2021-06-26;Non-vaccinés;84734;3624;915;247;76;51;17;17;14;4;35149392
2021-06-30;Non-vaccinés;126167;8157;2040;690;85;60;21;12;8;7;34436445
2021-07-01;Non-vaccinés;139254;7881;1966;652;69;48;15;9;12;9;34198397
2021-07-02;Non-vaccinés;160377;7560;2240;696;85;53;18;12;10;8;33975228
2021-07-03;Non-vaccinés;98079;3854;1277;391;54;41;15;12;16;14;33824116
2021-07-05;Non-vaccinés;171917;9927;3339;1256;94;62;20;13;8;4;33617658
2021-07-10;Non-vaccinés;103602;4858;1845;651;65;48;25;21;11;8;32669853
2021-07-11;Non-vaccinés;28478;1645;704;226;68;50;19;15;8;5;32614362
2021-07-12;Non-vaccinés;164714;13193;5624;2463;96;66;30;23;2;1;32454107
2021-07-15;Non-vaccinés;180127;15874;8478;3863;115;79;33;25;9;9;31835130
2021-07-17;Non-vaccinés;103277;7007;4596;1908;140;98;34;28;9;3;31471402
2021-07-22;Non-vaccinés;197915;18440;14488;6536;208;144;54;43;11;8;30455948
2021-07-26;Non-vaccinés;206244;25572;21964;10805;310;217;70;55;10;10;29445220
2021-08-02;Non-vaccinés;199103;23902;23131;10959;451;328;129;95;26;21;27087849
2021-08-07;Non-vaccinés;112754;8198;8446;3503;425;277;132;95;32;15;24973825
2021-08-08;Non-vaccinés;31686;2529;2571;970;341;212;120;89;45;25;24866787
2021-05-31;Primo dose efficace;28044;2120;462;182;35;26;2;1;9;8;8277315
2021-06-02;Primo dose efficace;23799;1677;258;89;18;14;6;3;3;3;8631637
2021-06-07;Primo dose efficace;31930;1947;353;129;14;12;5;5;3;2;9828644
2021-06-08;Primo dose efficace;25028;1736;189;50;21;20;2;2;2;2;9982315
2021-06-11;Primo dose efficace;31681;1306;183;43;5;5;2;2;7;6;10606689
2021-06-12;Primo dose efficace;17317;690;112;30;9;7;2;0;1;1;10894896
2021-06-14;Primo dose efficace;30692;1626;187;53;11;10;2;2;2;2;11124402
2021-06-20;Primo dose efficace;4419;221;31;9;5;4;0;0;0;0;11837764
2021-06-27;Primo dose efficace;4250;238;21;8;3;2;2;2;1;1;12316585
2021-07-09;Primo dose efficace;34027;1831;396;146;5;5;1;1;2;1;10922918
2021-07-15;Primo dose efficace;29975;2521;854;402;2;2;1;1;0;0;9561317
2021-07-19;Primo dose efficace;24889;2834;1388;719;5;5;7;6;0;0;8676464
2021-07-20;Primo dose efficace;22144;2487;1198;541;6;5;0;0;1;1;8329956
2021-07-21;Primo dose efficace;23585;2478;1264;569;7;4;2;2;0;0;8043027
2021-07-22;Primo dose efficace;29202;2194;1214;529;6;6;3;3;1;1;7785836
2021-07-25;Primo dose efficace;3637;299;186;76;9;8;3;3;1;1;7288262
2021-07-27;Primo dose efficace;19379;2086;1114;516;13;10;1;1;1;1;6472878
2021-08-06;Primo dose efficace;30652;1546;997;379;20;18;2;2;2;2;4468328
2021-08-08;Primo dose efficace;4015;231;172;64;14;11;9;8;2;2;4624615
2021-06-01;Primo dose récente;10877;1166;441;227;19;14;4;2;0;0;5591546
2021-06-05;Primo dose récente;7035;347;153;53;3;3;3;3;0;0;5567473
2021-06-12;Primo dose récente;6509;264;88;32;4;2;1;1;0;0;5215882
2021-06-14;Primo dose récente;11310;686;182;85;10;7;2;2;0;0;5184090
2021-06-16;Primo dose récente;9869;537;116;40;4;3;0;0;0;0;5276522
2021-06-19;Primo dose récente;6039;201;49;12;5;4;0;0;0;0;5059839
2021-06-20;Primo dose récente;1399;70;9;3;3;3;0;0;0;0;4889842
2021-06-30;Primo dose récente;7138;400;102;39;0;0;1;1;0;0;3910177
2021-07-02;Primo dose récente;9350;304;91;35;2;2;0;0;0;0;3589123
2021-07-12;Primo dose récente;8181;566;252;107;3;3;0;0;0;0;2596277
2021-07-19;Primo dose récente;10648;1076;842;436;5;5;0;0;0;0;2492390
2021-07-22;Primo dose récente;18172;1259;1119;528;8;6;1;1;0;0;2743359
2021-07-25;Primo dose récente;2628;224;195;91;3;3;2;2;0;0;2937130
2021-07-30;Primo dose récente;36041;1723;1589;718;13;10;1;1;1;1;3961147
2021-08-01;Primo dose récente;3124;240;220;97;12;9;6;6;0;0;4032337
2021-08-04;Primo dose récente;18382;1913;1665;850;14;12;5;5;0;0;4755942
2021-08-06;Primo dose récente;31782;1729;1571;794;18;17;8;7;0;0;5123233
2021-08-07;Primo dose récente;16061;829;837;404;19;17;1;1;0;0;5062971
2021-08-08;Primo dose récente;3418;218;230;98;15;13;7;5;0;0;4945491
2021-06-02;Vaccination complète;27920;1391;304;68;43;36;6;4;3;3;10254812
2021-06-05;Vaccination complète;19540;726;168;37;13;8;6;4;3;3;10749537
2021-06-06;Vaccination complète;5468;331;46;7;12;7;3;3;3;3;10776460
2021-06-08;Vaccination complète;28669;1406;222;52;16;12;4;4;1;1;11066947
2021-06-09;Vaccination complète;26378;1225;194;41;19;14;3;2;4;3;11298606
2021-06-11;Vaccination complète;30659;1187;197;38;16;14;4;4;7;5;11871919
2021-06-13;Vaccination complète;5773;316;34;8;5;1;5;3;1;0;12095586
2021-06-14;Vaccination complète;38980;1329;208;56;17;12;2;2;2;2;12318357
2021-06-16;Vaccination complète;27357;1162;138;32;13;11;4;2;5;1;12879284
2021-06-20;Vaccination complète;6595;329;25;7;10;7;2;1;4;4;13831010
2021-07-04;Vaccination complète;8773;442;49;13;10;8;1;0;1;1;18404252
2021-07-09;Vaccination complète;51117;2693;438;129;19;11;1;1;2;2;20840855
2021-07-11;Vaccination complète;10305;587;106;30;13;9;2;2;2;2;21405377
2021-07-12;Vaccination complète;56169;4052;672;245;8;6;4;4;3;3;21884695
2021-07-13;Vaccination complète;55534;3678;669;231;20;18;2;2;1;1;22430227
2021-07-14;Vaccination complète;13745;827;170;61;13;13;5;5;0;0;22947395
2021-07-18;Vaccination complète;12092;781;212;77;13;13;5;5;0;0;24546278
2021-07-19;Vaccination complète;69582;5813;1665;690;18;14;2;2;1;1;24987796
2021-07-21;Vaccination complète;56053;5527;1676;670;33;26;4;4;0;0;25960511
2021-07-24;Vaccination complète;42666;2735;981;364;15;14;6;6;3;3;27340095
2021-07-28;Vaccination complète;65405;6355;2227;922;54;46;11;10;5;3;28708199
2021-07-29;Vaccination complète;64600;5748;2058;771;56;49;11;7;2;1;29246552
