date;vac_statut;nb_PCR;nb_PCR_sympt;nb_PCR+;nb_PCR+_sympt;HC;HC_PCR+;SC;SC_PCR+;DC;DC_PCR+;effectif J-7
2021-06-01;Non-vaccinés;141485;17050;6527;2504;304;205;77;60;29;24;43365127
2021-06-04;Non-vaccinés;171312;13213;5801;1807;283;201;65;51;24;19;42084686
2021-06-05;Non-vaccinés;84927;5846;3013;963;179;131;54;36;22;17;41787867
2021-06-08;Non-vaccinés;128549;13245;4288;1469;222;173;61;44;18;12;40907213
2021-06-09;Non-vaccinés;120470;11039;3618;1260;205;152;44;29;35;26;40497700
2021-06-10;Non-vaccinés;128576;10589;3277;1127;179;130;48;35;27;21;40041218
2021-06-14;Non-vaccinés;137847;10348;3486;1144;160;114;42;30;20;17;38827418
2021-06-15;Non-vaccinés;111227;9406;2555;812;149;108;35;24;26;18;38439445
2021-06-17;Non-vaccinés;122625;7719;2139;650;123;79;40;26;30;21;37665575
2021-06-18;Non-vaccinés;150943;7234;2269;569;111;66;27;18;13;9;37283989
2021-06-19;Non-vaccinés;77381;3430;1135;278;99;73;28;22;12;10;37003766
2021-06-20;Non-vaccinés;22616;1323;352;98;88;61;12;9;17;13;36900475
2021-06-21;Non-vaccinés;130693;8322;2361;763;105;73;35;24;19;11;36665949
2021-06-22;Non-vaccinés;105521;7698;1751;533;109;77;26;17;14;10;36367004
2021-06-26;Non-vaccinés;81225;3462;895;246;76;51;16;16;14;4;35213236
2021-07-02;Non-vaccinés;155241;7281;2203;694;82;50;19;12;10;8;34051061
2021-07-08;Non-vaccinés;150740;9360;2959;1148;79;60;18;14;9;5;33113939
2021-07-09;Non-vaccinés;172563;9103;3480;1196;77;60;25;18;7;3;32904348
2021-07-10;Non-vaccinés;102064;4762;1833;651;63;46;24;20;11;8;32766711
2021-07-11;Non-vaccinés;28140;1619;703;225;66;49;17;13;8;5;32712005
2021-07-13;Non-vaccinés;154401;12757;5623;2398;116;87;25;21;10;7;32367721
2021-07-14;Non-vaccinés;35940;2423;1268;494;83;54;22;21;7;5;32166204
2021-07-16;Non-vaccinés;177181;14203;8114;3447;129;90;29;22;9;6;31726126
2021-07-17;Non-vaccinés;102188;6909;4574;1901;133;92;33;28;9;3;31582560
2021-07-22;Non-vaccinés;195622;18268;14407;6514;199;133;52;39;11;8;30572915
2021-07-23;Non-vaccinés;229496;17408;14335;6012;217;149;61;46;15;10;30203874
2021-07-25;Non-vaccinés;31988;2943;2418;983;211;144;64;52;15;12;29842455
2021-06-04;Primo dose récente;592;114;185;89;5;5;1;1;0;0;5705727
2021-06-07;Primo dose récente;666;146;225;125;4;4;1;1;0;0;5447604
2021-06-17;Primo dose récente;546;54;77;38;0;0;0;0;0;0;5243071
2021-06-19;Primo dose récente;437;15;30;8;3;3;0;0;0;0;5047801
2021-06-24;Primo dose récente;648;27;36;14;2;1;0;0;0;0;4694331
2021-07-01;Primo dose récente;1483;72;59;26;0;0;0;0;0;0;3740571
2021-07-04;Primo dose récente;328;13;9;3;0;0;0;0;0;0;3145833
2021-07-06;Primo dose récente;1732;126;83;40;1;1;0;0;0;0;3106158
2021-07-10;Primo dose récente;1776;65;69;29;2;1;0;0;0;0;2639754
2021-07-13;Primo dose récente;3051;246;204;104;3;3;0;0;0;0;2551041
2021-07-14;Primo dose récente;762;53;37;18;0;0;0;0;0;0;2533951
2021-07-22;Primo dose récente;13731;1001;946;464;4;2;0;0;0;0;2712551
2021-07-24;Primo dose récente;8964;614;586;265;5;5;0;0;0;0;2927500
2021-05-31;Primo dose efficace;68525;6514;1069;378;48;37;5;4;9;8;8310785
2021-06-01;Primo dose efficace;55068;5506;642;207;39;33;7;5;4;1;8439889
2021-06-02;Primo dose efficace;58226;4963;578;160;31;24;12;7;4;4;8666079
2021-06-11;Primo dose efficace;58726;2886;338;66;9;6;2;2;7;6;10643718
2021-06-12;Primo dose efficace;30405;1351;180;39;17;15;2;0;1;1;10931805
2021-06-15;Primo dose efficace;40525;2803;232;47;15;15;2;1;3;3;11153232
2021-06-16;Primo dose efficace;44057;2612;231;52;14;11;3;3;1;1;11277107
2021-06-20;Primo dose efficace;6608;355;37;10;7;6;0;0;0;0;11876651
2021-06-21;Primo dose efficace;44923;2521;219;63;13;12;0;0;1;1;11713469
2021-06-24;Primo dose efficace;40553;2162;165;47;7;6;1;1;1;1;11928273
2021-06-27;Primo dose efficace;5726;341;34;11;5;3;2;2;1;1;12353358
2021-06-28;Primo dose efficace;39451;2640;273;91;8;5;2;1;1;1;12123495
2021-06-29;Primo dose efficace;31976;2536;200;72;6;4;1;1;0;0;12040447
2021-07-02;Primo dose efficace;43054;2010;278;77;7;7;2;1;4;3;11892947
2021-07-07;Primo dose efficace;32947;2545;425;156;6;5;0;0;1;1;11344175
2021-07-08;Primo dose efficace;38668;2525;424;157;5;5;2;2;1;1;11205783
2021-07-09;Primo dose efficace;41124;2170;461;163;7;7;1;1;2;1;10954878
2021-07-13;Primo dose efficace;30923;2732;684;307;7;5;1;1;0;0;10154948
2021-07-15;Primo dose efficace;35079;3062;962;446;5;4;0;0;0;0;9589278
2021-07-17;Primo dose efficace;17034;1169;542;230;3;3;2;2;0;0;9086945
2021-07-25;Primo dose efficace;4041;331;203;83;5;4;2;2;1;1;7302730
2021-05-31;Vaccination complète;35819;1775;543;162;27;20;11;8;2;1;9824002
2021-06-16;Vaccination complète;28639;1200;142;35;15;13;5;3;5;1;12802977
2021-06-17;Vaccination complète;28538;1124;156;38;12;9;2;1;2;2;13106897
2021-06-20;Vaccination complète;6767;336;25;7;11;8;2;1;4;4;13752438
2021-06-26;Vaccination complète;25577;838;97;18;7;5;0;0;1;1;15689367
2021-06-28;Vaccination complète;47093;1905;224;63;11;6;1;1;1;1;16160852
2021-07-04;Vaccination complète;8984;442;44;11;7;5;1;0;1;1;18316147
2021-07-05;Vaccination complète;56473;2763;380;122;6;4;2;1;1;1;18747756
2021-07-19;Vaccination complète;72037;5916;1676;685;16;13;1;1;1;1;24883231
2021-07-21;Vaccination complète;57190;5562;1592;626;33;24;4;4;0;0;25853612
2021-07-22;Vaccination complète;58665;5291;1577;612;22;20;2;2;5;3;26313693
2021-07-23;Vaccination complète;69122;5032;1609;579;26;20;1;0;2;1;26862992
2021-07-25;Vaccination complète;13944;959;296;110;23;21;7;6;2;2;27347639
2021-05-31;Ensemble;270464;28282;11270;4465;404;286;106;75;40;25;67407241
2021-06-01;Ensemble;226731;24302;7799;2953;376;267;91;69;36;26;67407241
2021-06-03;Ensemble;237144;20603;6780;2313;296;211;84;64;32;25;67407241
2021-06-14;Ensemble;231175;14926;4124;1348;201;144;48;36;24;21;67407241
2021-06-18;Ensemble;242458;10669;2777;680;134;84;32;21;19;13;67407241
2021-06-19;Ensemble;129381;5139;1385;323;123;92;31;25;19;15;67407241
2021-06-20;Ensemble;36140;2024;420;117;107;76;14;10;21;17;67407241
2021-06-21;Ensemble;217941;12286;2808;893;132;96;38;26;23;15;67407241
2021-07-13;Ensemble;246379;19513;7188;3029;146;113;28;24;11;8;67407241
2021-07-15;Ensemble;276294;23436;10612;4794;137;98;37;28;10;10;67407241
2021-07-21;Ensemble;258684;28460;17683;8426;246;175;63;48;9;6;67407241
2021-07-22;Ensemble;301237;27028;18300;8179;234;162;56;43;16;11;67407241
2021-07-24;Ensemble;190034;13526;9843;4103;221;159;54;40;19;16;67407241
2021-06-03;Non-vaccinés;146385;14295;5662;1969;242;171;63;47;26;20;42510429
2021-06-07;Non-vaccinés;155106;14617;6168;2199;260;185;68;59;28;21;41327195
2021-06-11;Non-vaccinés;144328;9924;3615;1012;207;142;44;30;24;17;39592690
2021-06-13;Non-vaccinés;21136;1433;457;119;124;85;31;19;17;12;39160545
2021-06-23;Non-vaccinés;104135;7045;1684;489;89;57;19;16;19;14;36059875
2021-06-27;Non-vaccinés;23210;1342;341;96;64;47;15;13;20;14;35141608
2021-06-28;Non-vaccinés;140239;8619;2151;740;106;72;21;13;8;4;34951933
2021-06-29;Non-vaccinés;116384;8389;1819;616;95;63;17;12;9;5;34734700
2021-07-04;Non-vaccinés;27358;1397;539;171;49;35;12;8;2;2;33846787
2021-07-06;Non-vaccinés;132151;9388;2733;1070;85;61;24;20;11;8;33520782
2021-07-07;Non-vaccinés;137126;9250;3080;1157;78;54;23;12;15;8;33324763
2021-07-20;Non-vaccinés;155498;18560;12772;6122;161;106;43;32;6;5;31084902
2021-07-24;Non-vaccinés;119620;9084;7612;3223;197;137;47;33;15;12;29950171
2021-06-02;Primo dose récente;569;142;231;118;10;10;2;2;0;0;5598259
2021-06-03;Primo dose récente;616;134;214;104;6;6;6;6;0;0;5629376
2021-06-05;Primo dose récente;365;58;100;42;2;2;1;1;0;0;5562262
2021-06-06;Primo dose récente;117;23;21;11;1;0;0;0;0;0;5310254
2021-06-09;Primo dose récente;494;82;113;60;6;3;0;0;0;0;5442398
2021-06-11;Primo dose récente;602;46;95;34;3;3;1;1;0;0;5372586
2021-06-12;Primo dose récente;348;30;57;23;1;0;1;1;0;0;5206841
2021-06-13;Primo dose récente;120;15;20;11;1;0;1;0;0;0;5009117
2021-06-20;Primo dose récente;149;10;6;2;1;1;0;0;0;0;4877677
2021-06-22;Primo dose récente;536;39;50;21;0;0;1;0;0;0;4908621
2021-06-23;Primo dose récente;593;32;40;20;1;1;0;0;0;0;4799931
2021-06-28;Primo dose récente;1137;68;60;32;0;0;0;0;0;0;4170961
2021-06-30;Primo dose récente;1195;77;59;27;0;0;1;1;0;0;3887648
2021-07-02;Primo dose récente;1913;75;52;22;0;0;0;0;0;0;3563844
2021-07-05;Primo dose récente;2125;118;100;51;0;0;0;0;0;0;3173262
2021-07-12;Primo dose récente;3034;225;190;85;2;2;0;0;0;0;2560051
2021-07-15;Primo dose récente;5135;344;309;152;1;1;0;0;0;0;2526583
2021-07-16;Primo dose récente;5748;358;298;135;2;2;1;1;0;0;2505970
2021-07-17;Primo dose récente;3522;243;223;108;1;1;1;1;0;0;2443324
2021-07-19;Primo dose récente;6660;748;694;375;3;3;0;0;0;0;2457425
2021-07-20;Primo dose récente;7338;851;722;382;2;2;1;1;0;0;2581197
2021-07-21;Primo dose récente;8989;984;851;454;2;2;0;0;0;0;2577114
2021-07-23;Primo dose récente;19824;1146;1132;538;6;5;0;0;0;0;2868123
2021-07-25;Primo dose récente;1909;190;175;84;3;3;2;2;0;0;2914417
2021-06-03;Primo dose efficace;61591;4742;571;152;25;17;7;6;4;3;8903556
2021-06-04;Primo dose efficace;69389;4120;563;146;20;20;6;4;1;0;9042641
2021-06-05;Primo dose efficace;35603;1905;318;66;24;21;6;5;4;3;9377381
2021-06-06;Primo dose efficace;8077;546;84;19;13;11;6;3;5;5;9708517
2021-06-07;Primo dose efficace;63377;4773;618;197;22;18;7;6;3;2;9864286
2021-06-10;Primo dose efficace;55981;3267;345;82;16;10;6;5;5;5;10447064
2021-06-17;Primo dose efficace;49995;2279;221;46;17;13;5;5;2;2;11391698
2021-06-18;Primo dose efficace;55016;2217;266;54;12;8;1;1;3;2;11482930
2021-06-23;Primo dose efficace;35637;2245;165;45;15;10;4;2;4;4;11838380
2021-06-26;Primo dose efficace;24632;984;123;21;1;1;0;0;7;5;12158877
2021-07-03;Primo dose efficace;23796;1009;168;55;4;3;2;2;1;1;11950972
2021-07-10;Primo dose efficace;21212;1096;249;84;6;5;1;1;0;0;10852418
2021-07-12;Primo dose efficace;34113;3084;725;330;6;5;0;0;1;0;10502894
2021-07-18;Primo dose efficace;4245;394;210;91;5;5;2;1;0;0;9071561
2021-07-23;Primo dose efficace;38757;2354;1453;592;9;9;4;3;0;0;7472252
2021-06-01;Vaccination complète;29557;1574;363;105;22;20;4;2;3;1;10015502
2021-06-04;Vaccination complète;34767;1478;295;81;21;17;3;2;5;5;10574187
2021-06-08;Vaccination complète;29800;1448;238;59;21;15;4;4;1;1;10995583
2021-06-10;Vaccination complète;26420;1323;207;45;14;6;2;1;4;3;11489906
2021-06-11;Vaccination complète;32264;1210;205;45;16;14;4;4;7;5;11798247
2021-06-15;Vaccination complète;30199;1224;151;26;9;7;1;1;2;1;12529812
2021-06-18;Vaccination complète;35861;1174;185;34;8;8;1;1;3;2;13472268
2021-06-19;Vaccination complète;23286;692;79;12;10;7;1;1;3;2;13694283
2021-06-29;Vaccination complète;36716;1855;138;43;9;3;2;1;2;1;16586267
2021-06-30;Vaccination complète;35099;1716;216;59;10;7;2;2;4;2;16987296
2021-07-02;Vaccination complète;45110;1800;251;65;13;11;3;2;2;2;17899389
2021-07-03;Vaccination complète;31051;1034;170;44;5;3;3;3;2;1;18204718
2021-07-06;Vaccination complète;44785;2601;309;95;11;9;0;0;2;0;19255693
2021-07-08;Vaccination complète;43890;2815;349;105;9;8;0;0;3;3;20182985
2021-07-09;Vaccination complète;54056;2771;433;128;18;10;1;1;2;2;20747779
2021-07-11;Vaccination complète;10559;603;105;29;11;7;2;2;1;1;21311154
2021-07-14;Vaccination complète;14249;854;186;66;14;12;5;5;0;0;22849619
2021-07-16;Vaccination complète;61905;4136;951;319;20;15;3;2;1;1;23902550
2021-07-24;Vaccination complète;44028;2737;943;344;11;10;6;6;3;3;27228897
2021-06-04;Ensemble;276060;18925;6844;2123;329;243;75;58;30;24;67407241
2021-06-05;Ensemble;141030;8549;3605;1109;218;163;68;47;29;23;67407241
2021-06-08;Ensemble;209148;18951;4985;1682;271;214;68;51;21;15;67407241
2021-06-12;Ensemble;127401;6570;2136;580;178;125;53;42;18;12;67407241
2021-06-13;Ensemble;34110;2139;561;145;142;96;41;24;21;14;67407241
2021-06-15;Ensemble;182429;13469;3011;910;179;134;38;26;31;22;67407241
2021-06-16;Ensemble;183873;11917;2653;793;163;110;47;32;25;13;67407241
2021-06-24;Ensemble;185395;10412;2037;660;117;88;27;17;19;15;67407241
2021-06-25;Ensemble;221328;10358;2172;571;101;68;25;20;11;7;67407241
2021-06-26;Ensemble;132086;5303;1139;291;84;57;17;16;22;10;67407241
2021-06-30;Ensemble;193320;12005;2517;859;99;74;25;16;14;11;67407241
2021-07-02;Ensemble;245318;11166;2784;858;102;68;24;15;16;13;67407241
2021-07-03;Ensemble;151644;5834;1636;503;63;47;20;17;19;16;67407241
2021-07-05;Ensemble;265332;15166;4192;1591;103;70;23;15;12;8;67407241
2021-07-06;Ensemble;209491;14766;3466;1339;99;72;26;22;14;9;67407241
2021-07-14;Ensemble;57506;3846;1685;655;99;68;27;26;7;5;67407241
2021-07-16;Ensemble;278076;21369;10261;4286;158;113;33;25;12;8;67407241
2021-07-18;Ensemble;46225;3708;2124;931;137;109;38;28;3;3;67407241
2021-07-19;Ensemble;282427;29843;17939;8733;201;146;53;42;13;8;67407241
2021-07-25;Ensemble;51882;4423;3092;1260;242;172;75;62;18;15;67407241
